label,duration,total_packets,total_bytes,throughput_bps,pkt_mean,pkt_std,iat_mean,iat_std,qoe_metric
Web,42.321985960006714,2523,2540679,60032.130874030394,1007.0071343638525,1457.2780233589183,0.016781120523396795,0.24757463872758004,40.37045097351074
Web,11.04456901550293,1707,1753525,158768.07845907158,1027.255418863503,2021.2824228846193,0.006473956046601952,0.018197383333043715,9.40359377861023
Web,6.401458978652954,2141,2189964,342103.88714555657,1022.8696870621205,1603.0551510188816,0.002991335971333156,0.022221490086567857,4.935436725616455
Web,11.029826879501343,6539,13064305,1184452.407342828,1997.9056430646888,4719.060208654951,0.0016870337839555434,0.005947431662379197,9.140302181243896
Web,7.519186973571777,3219,3815666,507457.2574682866,1185.3575644610128,2024.4622493440959,0.0023366025399539393,0.008958687780270192,5.434216976165772
Web,6.0696470737457275,434,289558,47705.903898841796,667.184331797235,1315.8100247837176,0.014017660678396599,0.09562291121583946,4.842894077301025
Web,3.3184750080108643,534,577766,174105.87652619396,1081.9588014981273,3087.7791350850734,0.006226031909964098,0.04815991940730088,2.985152244567871
Web,7.609713077545166,2948,4091073,537611.9911895217,1387.745251017639,3024.592610674028,0.002582189710738095,0.009535521422569825,5.658889532089233
Web,12.156966924667358,5251,8222586,676368.2134657933,1565.908588840221,3022.844701208734,0.0023156127475556874,0.008715912575166174,9.662900924682615
Web,4.7482991218566895,1703,1777063,374252.5385184936,1043.4897240164416,1357.0940058357708,0.0027898349717136836,0.026005369383800405,3.838930368423462
Web,5.693107843399048,2296,3940624,692174.4868348157,1716.2996515679442,5040.51277835356,0.0024806570123743128,0.0068360682762092055,4.228989839553833
Web,7.316102981567383,719,1101558,150566.2239549292,1532.0695410292071,3816.1024416222663,0.010189558470149558,0.03610982054045713,6.655564785003662
Web,7.857921123504639,2653,3994472,508336.9936167624,1505.64342254052,2959.887828369746,0.0029630170148961686,0.00914674147546795,6.3913280963897705
Web,6.711429119110107,3250,5556466,827911.0009786935,1709.6818461538462,3411.6463311621233,0.002065690710714099,0.020601728156811484,6.667892456054688
Web,10.268548965454102,2646,2915067,283883.05005965254,1101.68820861678,1789.997258194325,0.003882249136277543,0.011297423352653739,8.4898521900177
Web,9.25570797920227,1571,1721950,186041.95420482694,1096.0852959898154,2459.7257912010523,0.005895355400765777,0.024463313962907317,7.631188869476318
Web,5.957112073898315,2203,2860207,480133.15252742753,1298.32364956877,2459.977980245867,0.002705318834649553,0.022688431958057337,5.193302154541016
Web,6.657350063323975,2327,2952930,443559.3700063926,1268.985818650623,2005.2404743369846,0.002862145341067917,0.014392620692395273,5.518615484237671
ChatGPT,35.53676199913025,1053,1279165,35995.54174438592,1214.7815764482432,1306.3748415922184,0.033780192014382364,0.3486105488455249,29.574
ChatGPT,17.908455848693848,140,54117,3021.8685774601286,386.55,764.8780978972121,0.12883781186110682,0.5917428532692245,15.261
